questionID,questionTitle,questionText,topic,answerText,upvotes,views
1,My apartment manager won't let me keep an emotional support dog,"I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?",depression,"This can be a difficult situation.  Typically, only animals that are specifically trains to accomplish a specific task are legally protected as Service Animsls. Even though that can be very helpful, emotional support animals are not generally protected in the same way.You might not be able to make your landlord accommodate you. If possible, you may want to consider a different apparent that is more animal friendly.",2,1026
3,Why do I feel like I don't belong anywhere?,"There are many people willing to lovingly provide me with a home. I have food, clothes, and a university education, but I never feel like I belong. Even when I have a good time with people who are supposed to be close, I feel like I'm just out with friends and I never go home.",depression,I truly understand what you are saying. I wanted to share this blog post about this very concern! ⛓🔗Are you finally ready to be free 🕊🦅,1,62
4,How can I help my girlfriend?,My girlfriend just quit drinking and she became really depressed. She told me that she wants to move. What can I do to help her? I want her to stay.,depression,"You're probably not going to like my answer.Your question says a lot about what YOU want rather than what she wants or what may be best for her. Sometimes, what's best for a person is the hardest thing to do, and may be completely opposite of what YOU want.Addictions don't happen in a vacuum. If you've had any experience with addicts at all, then I'm sure you've heard the term ""enabler"". A lot of the times, when people think they're ""helping"", they're actually enabling the addict to continue their self-destructive behavior. Tough love and clear boundaries are needed in a lot of situations, but especially with addictions. Family and friends are often the biggest contributing factor to someone choosing to use/drink, continuing to do so, or relapsing back into it.You said she recently quit. You said she is depressed. She wants to move. When a person receives counseling for addictions, they are encouraged to make changes like this. They need to break the habit, and this means removing people from their lives at times. It means moving to new locations. Anything that may trigger a relapse needs to be identified and removed. Not only that, but the addict needs to do a lot of personal reflection to figure out WHY they use/drink in the first place, and not only break the physical addiction to it, but deal with whatever is the root cause that led them to use in the first place. She may need some time alone to figure out who she is as a person, time to make some decisions for herself and do what she needs to do to be healthy.Don't pressure her to stay. Let her have the freedom to do what she needs to do. If she stays, the decision needs to be hers and hers alone. It doesn't need to be made under pressure. That will only lead to resentment. Support her, but don't try to change her or make her do anything, especially for selfish reasons. Let her go. It sounds like she needs some time to focus on herself right now. It wouldn't be a bad idea for you to do the same.",3,824
10,How do I stop feeling empty?,"I don't know how else to explain it. All I can say is that I feel empty, I feel nothing. How do I stop feeling this way?",depression,"Why do I feel empty?Feelings of emptiness—a lack of meaning or purpose—are experienced by most people at some point in life. However, chronic feelings of emptiness, feelings of emotional numbness or despair, and similar experiences may be symptomatic of other mental health concerns, such as depression, anhedonia, or schizophreniaLIke I say seek to get a check up physically and mentally to see if there are any medical under lining issues.",3,148
12,How can I get my husband to listen to my needs and talk to me?,"I tried telling my husband I was depressed, and he ignored me. He said ""you're always sad or depressed."" And he picked up his phone and ignored me. I said, ""Please don't exaggerate, that isn't true."" And he said, ""Whatever babe. You just want to be sad.""
   How can I get through to him so he will take me seriously?",depression,"Oh dear.From what you write, your husband doesn't have any interest to know about you and your sad feelings.Stay clear in understanding that you already did your part by asking him to listen and care about the way you feel.In this example, he told you he doesn't care.Its up to him to open his mind and heart to you.Depending on how motivated to continue asking him to hear you, try until you feel satisfied that you've given him enough chances to know who you are.   At a certain number of tries at this, you'll either have success or not.Just don't try forever because doing so will increase your depressed feelings.",1,240
13,How can I best fight the winter blues?,Every winter I find myself getting sad because of the weather. How can I fight this?,depression,"Seasonal Affective Disorder (S.A.D.) is a term that reflects how many people are affected by the changing seasons, especially fall to winter.  Everyone suffers with some form of this (lessened activity levels, increased isolation, etc.) while some find that this time of year can put them into a deeper depression. If you have noticed that this happens frequently, there are some ways you can definitely help yourself going forward:1. Attend therapy to learn strategies and tools to help you to manage your mood.  It's important to stay within the therapy until you feel you have mastered these tools. 2. Push yourself to interact more with your social groups and other positive activities. It's easy to go out and spend the day outside in the summer months, when the temperature is warm and the sun shines for long periods of the day, but it seems harder to find fun ways to spend your time when the temperature drops and darkness comes on so quickly.  Perhaps winter time could become the time of year where you and your friends have weekly board game nights, complete with hot chocolate and a fire?3. You may want to consider the purchase of a S.A.D. Light.  These are lights that expose you to additional ultra violet light to increase the vitamin D in our bodies, as well as the release of growth hormone (which releases when we wake up). There are mixed reviews of these products, however, and they can be expensive.",3,1846
19,My family can't stand me,I am the problem. I make my family argue because of me. My mom has even said it. It's constantly like this. I cause problems. I am worthless. I can't stop crying. Sometimes I have to cry myself to sleep. I can't even leave my room because my family can't stand me.,depression,"I am so very sorry for how pressured and sad you feel right now.Definitely all family members have an effect on the other ones.From what you write, your family members are not considering the effect their negative comments have on you.Also, keep in mind that each person is responsible for deciding to argue or find a different way to discuss a problem. You are not in control of the other people in your family.More likely they take the easy way out and blame you for what they don't want to know about themselves.Stay aware that the family's decision to target you doesn't mean that you are doing something wrong.   Certainly your existence is not wrong, which is the degree to which the unfairness seems to have spread.What to do about it is read about family systems to see more explanations on how you are being unfairly treated.Also stay in touch with friends bc these are the people who value and respect you.",2,502
20,My family says I have depression,"I'm in my late teens and live with my dad. The only time I go out is for my college classes. Sometimes when I see my friends I want to talk with them, but sometimes I won't want to talk to them for days or even weeks.    Sometimes I feel i'm not worth knowing or i'm never going to do anything right.
   Are they right, am I depressed?",depression,"Characterized by persistent sadness and a lack of interest or pleasure in previously rewarding or enjoyable activitiesYou're not alone. Globally, more than 264 million people of all ages suffer from depression - WHOFollowing could be potential causes of depression1. Family history. You’re at a higher risk for developing depression if you have a family history of depression.2. Early childhood trauma.3. Some events affect the way your body reacts to fear and stressful situations.4. Brain structure.5. Medical conditions.6. Drug use.Like I always state seeking to get physical and mental tests done then start a path in talk therapy",3,109
21,I'm very depressed?,I'm very depressed. How do I find someone to talk to?,depression,"Silly you took the first step to ""claim it""  you are by posting on here.  All of us are here to help.",1,44
22,How can I get people to listen?,"I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them but not their personalities. I feel that they do not take me seriously whenever I talk about a serious event in my life. If my dad doesn’t believe me, then my mom goes along with my dad and acts like she doesn’t believe me either. I’m a pansexual, but I can’t trust my own parents.
 I've fought depression and won; however, stress and anxiety are killing me. I feel that my friends don't listen to me. I know they have their own problems, which I do my best to help with. But they don't always try to help me with mine, when I really need them. I feel as if my childhood has been taken from me. I feel as if I have no one whom I can trust.",depression,"First of all, I am sorry that you have been missing out on your childhood. It may help you to know that many of us feel that we have missed out on our childhoods, as well, and that despite such deprivations, for many of us, our adult lives have been extraordinarily fulfilling due to our opening up to trusted adults. I recommend that you find a trustworthy adult to talk to. This may be a teacher, a coach, a school counselor, a minister, a family member, or a friend's family member. If none of these are available, try out a professional counselor, social worker, psychiatric nurse practitioner, psychologist, or a psychiatrist. It is best to get a referral for such a professional from a peer who has had a positive and safe experience with a particular provider.",3,717
